,city,state,year,month,day,hour,minute,converted_timestamp
0,Chester,VA,2019,12,12,18,43,2019-12-12 18:43:00
1,Rocky Hill,CT,2019,3,22,18,30,2019-03-22 18:30:00
2,Kirbyville,TX,2019,4,2,20,25,2019-04-02 20:25:00
3,Gold Canyon,AZ,2019,4,10,17,0,2019-04-10 17:00:00
4,Dallas,TX,1973,7,14,22,0,1973-07-14 22:00:00
5,Brookville,IN,2019,6,18,21,0,2019-06-18 21:00:00
6,Carrizozo,NM,2019,6,11,22,0,2019-06-11 22:00:00
7,Waco,TX,2018,6,15,1,0,2018-06-15 01:00:00
8,Centerville,IA,1999,8,15,2,30,1999-08-15 02:30:00
9,Gray Court,SC,1975,7,17,0,0,1975-07-17 00:00:00
10,Yuba City,CA,2019,8,17,0,0,2019-08-17 00:00:00
11,Abilene,TX,2019,8,14,1,0,2019-08-14 01:00:00
12,Santa Barbara,CA,2019,8,6,20,45,2019-08-06 20:45:00
13,Charlestown,RI,2019,8,5,14,0,2019-08-05 14:00:00
14,Springfield,TN,2019,8,3,18,53,2019-08-03 18:53:00
15,Maitland,FL,2019,7,29,8,13,2019-07-29 08:13:00
16,Erie,PA,2001,9,11,9,0,2001-09-11 09:00:00
17,Lawrenceburg,KY,1969,6,1,21,0,1969-06-01 21:00:00
18,Rocky Mount,NC,1969,7,27,21,45,1969-07-27 21:45:00
19,Warren,MI,1970,7,1,19,0,1970-07-01 19:00:00
20,South Windsor,CT,1970,7,15,19,0,1970-07-15 19:00:00
21,Stockton,CA,1970,7,22,20,0,1970-07-22 20:00:00
22,Forrest City,AR,1971,6,1,17,0,1971-06-01 17:00:00
23,Broken Bow,OK,1971,6,14,20,45,1971-06-14 20:45:00
24,Puyallup,WA,1971,7,25,23,40,1971-07-25 23:40:00
25,Oxnard,CA,1971,12,25,8,0,1971-12-25 08:00:00
26,San Jose,CA,1973,6,15,22,30,1973-06-15 22:30:00
27,Philip,SD,1973,9,22,15,0,1973-09-22 15:00:00
28,Collierville,TN,1973,10,15,16,0,1973-10-15 16:00:00
29,Ventura,CA,1974,4,15,22,0,1974-04-15 22:00:00
30,New Rochelle,NY,1974,8,10,1,0,1974-08-10 01:00:00
31,New Rochelle,NY,1974,8,10,13,0,1974-08-10 13:00:00
32,Columbia,SC,1974,9,13,21,0,1974-09-13 21:00:00
33,Waterford,PA,1975,4,18,7,40,1975-04-18 07:40:00
